DATE TIME;1SWP;2Soil T; 3SWP;4Soil T;
2022-09-05 10:00:00;-35950.4;24.1984;-41209.6;23.9989;
2022-09-05 11:00:00;-37235.2;23.2997;-56961.6;23.0983;
2022-09-05 12:00:00;-34651.2;23.2997;-44512;23.0983;
2022-09-05 13:00:00;-31886.4;23.4992;-39964.8;23.2997;
2022-09-05 14:00:00;-31678.4;23.5999;-39774.4;23.2997;
2022-09-05 15:00:00;-28694.4;24.7988;-43844.8;24.2991;
2022-09-05 16:00:00;-29638.4;24.3998;-40830.4;24.1984;
2022-09-05 17:00:00;-30438.4;23.7994;-38065.6;23.6987;
2022-09-05 18:00:00;-31630.4;23.4992;-46022.4;23.2997;
2022-09-05 19:00:00;-29272;23.199;-41800;22.9995;
2022-09-05 20:00:00;-31360;22.9995;-40534.4;22.7981;
2022-09-05 21:00:00;-30830.4;22.8988;-39742.4;22.6993;
2022-09-05 22:00:00;-32129.6;22.7981;-43796.8;22.5986;
2022-09-05 23:00:00;-31176;22.6993;-41251.2;22.4998;
2022-09-06 00:00:00;-31672;22.5986;-45206.4;22.3991;
2022-09-06 01:00:00;-31248;22.4998;-38414.4;22.2984;
2022-09-06 02:00:00;-33820.8;22.3991;-43945.6;22.1996;
2022-09-06 03:00:00;-32217.6;22.3991;-48318.4;22.1996;
2022-09-06 04:00:00;-35544;22.2984;-43516.8;22.0989;
2022-09-06 05:00:00;-34320;22.1996;-42385.6;21.9982;
2022-09-06 06:00:00;-35724.8;22.1996;-42872;21.9982;
2022-09-06 07:00:00;-33729.6;22.2984;-39465.6;22.0989;
2022-09-06 08:00:00;-33092.8;22.7981;-45964.8;22.5986;
2022-09-06 09:00:00;-31257.6;23.0983;-42648;22.8988;
2022-09-06 10:00:00;-25873.6;23.7994;-37753.6;23.5999;
2022-09-06 11:00:00;-26470.4;23.3985;-42137.6;23.199;
2022-09-06 12:00:00;-32371.2;23.0983;-42574.4;22.8988;
2022-09-06 13:00:00;-27278.4;24.9983;-31532.8;24.5993;
2022-09-06 14:00:00;-23123.2;26.999;-28030.4;26.5981;
2022-09-06 15:00:00;-22668.8;27.4987;-30417.6;27.1985;
2022-09-06 16:00:00;-23739.2;27.1985;-29838.4;27.0997;
2022-09-06 17:00:00;-23806.4;26.5981;-28379.2;26.4993;
2022-09-06 18:00:00;-24267.2;26.2998;-32435.2;26.1991;
2022-09-06 19:00:00;-24612.8;25.8989;-29769.6;25.7982;
2022-09-06 20:00:00;-27848;25.3992;-36643.2;25.1997;
2022-09-06 21:00:00;-28416;24.7988;-35491.2;24.6981;
2022-09-06 22:00:00;-28321.6;24.3998;-38528;24.2991;
2022-09-06 23:00:00;-27756.8;23.7994;-45272;23.6987;
2022-09-07 00:00:00;-31558.4;23.2997;-39960;23.199;
2022-09-07 01:00:00;-32251.2;22.8988;-37699.2;22.7981;
2022-09-07 02:00:00;-30484.8;22.5986;-42676.8;22.4998;
2022-09-07 03:00:00;-32534.4;22.3991;-43491.2;22.2984;
2022-09-07 04:00:00;-31833.6;22.2984;-41924.8;22.1996;
2022-09-07 05:00:00;-31616;22.1996;-42168;22.0989;
2022-09-07 06:00:00;-32148.8;21.9982;-43859.2;21.8994;
2022-09-07 07:00:00;-37713.6;21.7987;-46158.4;21.6999;
2022-09-07 08:00:00;-36347.2;20.9;-49558.4;20.9988;
2022-09-07 09:00:00;-42864;18.7986;-48041.6;19.0988;
2022-09-07 10:00:00;-48080;18.0994;-60988.8;18.2989;
2022-09-07 11:00:00;-41403.2;19;-55212.8;18.8993;
2022-09-07 12:00:00;-29969.6;22.6993;-35113.6;22.2984;
2022-09-07 13:00:00;-28489.6;23.2997;-35288;23.0983;
2022-09-07 14:00:00;-27865.6;23.4992;-35422.4;23.2997;
2022-09-07 15:00:00;-29444.8;23.4992;-41553.6;23.2997;
2022-09-07 16:00:00;-26396.8;23.4992;-36686.4;23.2997;
2022-09-07 17:00:00;-29035.2;23.4992;-38737.6;23.2997;
2022-09-07 18:00:00;-28960;23.4992;-40734.4;23.2997;
2022-09-07 19:00:00;-28312;23.4992;-31995.2;23.199;
2022-09-07 20:00:00;-26283.2;23.3985;-36344;23.199;
2022-09-07 21:00:00;-27536;23.3985;-40814.4;23.199;
2022-09-07 22:00:00;-28116.8;23.3985;-39579.2;23.199;
2022-09-07 23:00:00;-26348.8;23.3985;-39774.4;23.199;
2022-09-08 00:00:00;-27825.6;23.3985;-38896;23.0983;
2022-09-08 01:00:00;-27440;23.2997;-36686.4;23.0983;
2022-09-08 02:00:00;-29267.2;23.2997;-40603.2;23.0983;
2022-09-08 03:00:00;-25771.2;23.2997;-36368;23.0983;
2022-09-08 04:00:00;-25475.2;23.2997;-39115.2;22.9995;
2022-09-08 05:00:00;-28867.2;23.199;-34614.4;22.9995;
2022-09-08 06:00:00;-26819.2;22.8988;-35459.2;22.6993;
2022-09-08 07:00:00;-28278.4;22.9995;-35632;22.7981;
2022-09-08 08:00:00;-27321.6;23.0983;-39208;22.8988;
2022-09-08 09:00:00;-29625.6;23.3985;-40024;23.199;
2022-09-08 10:00:00;-25984;23.6987;-52337.6;23.4992;
2022-09-08 11:00:00;-27465.6;24.0996;-44745.6;23.8982;
2022-09-08 12:00:00;-25017.6;23.9989;-38235.2;23.7994;
2022-09-08 13:00:00;-23417.6;23.7994;-39097.6;23.5999;
2022-09-08 14:00:00;-27304;23.6987;-41278.4;23.4992;
2022-09-08 15:00:00;-24244.8;23.6987;-33753.6;23.4992;
2022-09-08 16:00:00;-25867.2;23.5999;-33641.6;23.3985;
2022-09-08 17:00:00;-28358.4;23.6987;-44040;23.4992;
2022-09-08 18:00:00;-28939.2;23.8982;-36480;23.6987;
2022-09-08 19:00:00;-24649.6;23.9989;-43273.6;23.7994;
2022-09-08 20:00:00;-27624;23.9989;-45366.4;23.7994;
2022-09-08 21:00:00;-25414.4;23.9989;-41483.2;23.7994;
2022-09-08 22:00:00;-27217.6;23.9989;-33907.2;23.7994;
2022-09-08 23:00:00;-27868.8;23.8982;-34998.4;23.6987;
2022-09-09 00:00:00;-28177.6;23.8982;-42936;23.6987;
2022-09-09 01:00:00;-25196.8;23.7994;-37388.8;23.6987;
2022-09-09 02:00:00;-25494.4;23.7994;-35409.6;23.5999;
2022-09-09 03:00:00;-26667.2;23.6987;-38171.2;23.4992;
2022-09-09 04:00:00;-25553.6;23.6987;-41299.2;23.4992;
2022-09-09 05:00:00;-26344;23.5999;-34318.4;23.3985;
2022-09-09 06:00:00;-21963.2;23.4992;-38094.4;23.3985;
2022-09-09 07:00:00;-28523.2;23.4992;-47958.4;23.3985;
2022-09-09 08:00:00;-26987.2;23.5999;-40209.6;23.3985;
2022-09-09 09:00:00;-27336;24.0996;-58076.8;23.7994;
2022-09-09 10:00:00;-28723.2;24.2991;-35249.6;23.9989;
2022-09-09 11:00:00;-21601.6;24.6981;-35897.6;24.3998;
2022-09-09 12:00:00;-24353.6;24.7988;-40041.6;24.5993;
2022-09-09 13:00:00;-24907.2;25.099;-47841.6;24.7988;
