DATE TIME;1. Increment [mm];2. Temperature [oC];
2022-09-21 14:00:00;1.447665;17.62891;
2022-09-21 14:30:00;1.447665;17.75781;
2022-09-21 15:00:00;1.447665;17.87109;
2022-09-21 15:30:00;1.449601;17.98828;
2022-09-21 16:00:00;1.447665;18.11719;
2022-09-21 16:30:00;1.447665;18.24219;
2022-09-21 17:00:00;1.447665;18.36719;
2022-09-21 17:30:00;1.447665;18.51563;
2022-09-21 18:00:00;1.44476;18.62891;
2022-09-21 18:30:00;1.447665;18.71484;
2022-09-21 19:00:00;1.447665;18.80469;
2022-09-21 19:30:00;1.447665;18.875;
2022-09-21 20:00:00;1.447665;18.9375;
2022-09-21 20:30:00;1.44476;18.98828;
2022-09-21 21:00:00;1.447665;19.03516;
2022-09-21 21:30:00;1.44476;19.08594;
2022-09-21 22:00:00;1.44476;19.10547;
2022-09-21 22:30:00;1.44476;19.12891;
2022-09-21 23:00:00;1.44476;19.10156;
2022-09-21 23:30:00;1.447665;19.07813;
2022-09-22 00:00:00;1.445728;19.06641;
2022-09-22 00:30:00;1.445728;19.00781;
2022-09-22 01:00:00;1.445728;18.96094;
2022-09-22 01:30:00;1.447665;18.89453;
2022-09-22 02:00:00;1.445728;18.83984;
2022-09-22 02:30:00;1.447665;18.78516;
2022-09-22 03:00:00;1.445728;18.71875;
2022-09-22 03:30:00;1.447665;18.66406;
2022-09-22 04:00:00;1.447665;18.60156;
2022-09-22 04:30:00;1.445728;18.55078;
2022-09-22 05:00:00;1.445728;18.48047;
2022-09-22 05:30:00;1.445728;18.43359;
2022-09-22 06:00:00;1.447665;18.36328;
2022-09-22 06:30:00;1.447665;18.3125;
2022-09-22 07:00:00;1.447665;18.25781;
2022-09-22 07:30:00;1.447665;18.1875;
2022-09-22 08:00:00;1.447665;18.13672;
2022-09-22 08:30:00;1.447665;18.05859;
2022-09-22 09:00:00;1.447665;18.01172;
2022-09-22 09:30:00;1.45057;17.99609;
2022-09-22 10:00:00;1.447665;18.02344;
2022-09-22 10:30:00;1.45057;18.08594;
2022-09-22 11:00:00;1.447665;18.16406;
2022-09-22 11:30:00;1.447665;18.26172;
2022-09-22 12:00:00;1.447665;18.32031;
2022-09-22 12:30:00;1.445728;18.39844;
2022-09-22 13:00:00;1.447665;18.49609;
2022-09-22 13:30:00;1.447665;18.59375;
2022-09-22 14:00:00;1.447665;18.68359;
2022-09-22 14:30:00;1.445728;18.76172;
2022-09-22 15:00:00;1.447665;18.84766;
2022-09-22 15:30:00;1.447665;18.96094;
2022-09-22 16:00:00;1.447665;19.01563;
2022-09-22 16:30:00;1.448633;19.09375;
2022-09-22 17:00:00;1.448633;19.17188;
2022-09-22 17:30:00;1.448633;19.21875;
2022-09-22 18:00:00;1.445728;19.28125;
2022-09-22 18:30:00;1.445728;19.33984;
2022-09-22 19:00:00;1.445728;19.38672;
2022-09-22 19:30:00;1.448633;19.42969;
2022-09-22 20:00:00;1.448633;19.48828;
2022-09-22 20:30:00;1.448633;19.34766;
2022-09-22 21:00:00;1.448633;19.01563;
2022-09-22 21:30:00;1.451538;18.54297;
2022-09-22 22:00:00;1.449601;17.97656;
2022-09-22 22:30:00;1.451538;17.44922;
2022-09-22 23:00:00;1.451538;16.96875;
2022-09-22 23:30:00;1.454443;16.50391;
2022-09-23 00:00:00;1.451538;16.08984;
2022-09-23 00:30:00;1.448633;15.67578;
2022-09-23 01:00:00;1.448633;15.24609;
2022-09-23 01:30:00;1.451538;14.82422;
2022-09-23 02:00:00;1.451538;14.5;
2022-09-23 02:30:00;1.45057;14.60156;
2022-09-23 03:00:00;1.45057;14.90234;
2022-09-23 03:30:00;1.45057;15.30859;
2022-09-23 04:00:00;1.45057;15.70313;
2022-09-23 04:30:00;1.45057;16.07031;
2022-09-23 05:00:00;1.45057;16.42188;
2022-09-23 05:30:00;1.45057;16.71094;
2022-09-23 06:00:00;1.45057;16.91406;
2022-09-23 06:30:00;1.45057;17.03906;
2022-09-23 07:00:00;1.447665;17.11719;
2022-09-23 07:30:00;1.447665;17.20703;
2022-09-23 08:00:00;1.45057;17.27344;
2022-09-23 08:30:00;1.45057;17.32031;
2022-09-23 09:00:00;1.45057;17.37891;
2022-09-23 09:30:00;1.45057;17.45313;
2022-09-23 10:00:00;1.452506;17.53125;
2022-09-23 10:30:00;1.45057;17.64453;
2022-09-23 11:00:00;1.45057;17.77734;
2022-09-23 11:30:00;1.45057;17.86328;
2022-09-23 12:00:00;1.447665;18.00391;
2022-09-23 12:30:00;1.45057;18.17188;
2022-09-23 13:00:00;1.447665;18.36328;
2022-09-23 13:30:00;1.447665;18.54297;
2022-09-23 14:00:00;1.447665;18.69922;
2022-09-23 14:30:00;1.447665;18.85938;
2022-09-23 15:00:00;1.445728;19.00781;
2022-09-23 15:30:00;1.447665;19.15625;
2022-09-23 16:00:00;1.445728;19.29688;
2022-09-23 16:30:00;1.445728;19.42188;
2022-09-23 17:00:00;1.447665;19.54297;
2022-09-23 17:30:00;1.445728;19.66406;
2022-09-23 18:00:00;1.447665;19.78125;
2022-09-23 18:30:00;1.448633;19.89453;
2022-09-23 19:00:00;1.448633;19.98047;
2022-09-23 19:30:00;1.448633;20.07813;
2022-09-23 20:00:00;1.445728;20.15625;
2022-09-23 20:30:00;1.445728;20.21094;
2022-09-23 21:00:00;1.448633;20.30078;
2022-09-23 21:30:00;1.445728;20.34375;
2022-09-23 22:00:00;1.445728;20.36719;
2022-09-23 22:30:00;1.448633;20.32813;
2022-09-23 23:00:00;1.445728;20.28125;
2022-09-23 23:30:00;1.448633;20.23828;
2022-09-24 00:00:00;1.448633;20.21094;
2022-09-24 00:30:00;1.448633;20.17578;
2022-09-24 01:00:00;1.448633;20.11328;
2022-09-24 01:30:00;1.448633;20.02734;
2022-09-24 02:00:00;1.448633;19.92188;
2022-09-24 02:30:00;1.448633;19.83984;
2022-09-24 03:00:00;1.448633;19.73438;
2022-09-24 03:30:00;1.448633;19.65625;
2022-09-24 04:00:00;1.445728;19.57031;
2022-09-24 04:30:00;1.445728;19.50781;
2022-09-24 05:00:00;1.448633;19.48047;
2022-09-24 05:30:00;1.448633;19.47266;
2022-09-24 06:00:00;1.445728;19.5;
2022-09-24 06:30:00;1.448633;19.52344;
2022-09-24 07:00:00;1.447665;19.52344;
2022-09-24 07:30:00;1.447665;19.54297;
2022-09-24 08:00:00;1.447665;19.52344;
2022-09-24 08:30:00;1.447665;19.49219;
2022-09-24 09:00:00;1.447665;19.51563;
2022-09-24 09:30:00;1.445728;19.55859;
2022-09-24 10:00:00;1.445728;19.59766;
2022-09-24 10:30:00;1.445728;19.64844;
2022-09-24 11:00:00;1.447665;19.71875;
2022-09-24 11:30:00;1.447665;19.76953;
2022-09-24 12:00:00;1.447665;19.82422;
2022-09-24 12:30:00;1.447665;19.875;
2022-09-24 13:00:00;1.447665;19.92969;
2022-09-24 13:30:00;1.447665;19.98047;
2022-09-24 14:00:00;1.44476;20.02734;
2022-09-24 14:30:00;1.44476;20.09766;
2022-09-24 15:00:00;1.447665;20.15625;
2022-09-24 15:30:00;1.447665;20.23047;
2022-09-24 16:00:00;1.447665;20.28125;
2022-09-24 16:30:00;1.447665;20.34375;
2022-09-24 17:00:00;1.447665;20.40625;
2022-09-24 17:30:00;1.447665;20.48438;
2022-09-24 18:00:00;1.447665;20.52734;
2022-09-24 18:30:00;1.447665;20.58984;
2022-09-24 19:00:00;1.449601;20.65234;
2022-09-24 19:30:00;1.447665;20.71484;
2022-09-24 20:00:00;1.44476;20.77344;
2022-09-24 20:30:00;1.447665;20.82813;
2022-09-24 21:00:00;1.447665;20.89063;
2022-09-24 21:30:00;1.447665;20.94141;
2022-09-24 22:00:00;1.447665;20.99219;
2022-09-24 22:30:00;1.447665;21.03906;
2022-09-24 23:00:00;1.447665;21.08203;
2022-09-24 23:30:00;1.447665;21.10156;
2022-09-25 00:00:00;1.447665;21.13281;
2022-09-25 00:30:00;1.449601;21.16016;
2022-09-25 01:00:00;1.447665;21.17969;
2022-09-25 01:30:00;1.447665;21.19531;
2022-09-25 02:00:00;1.447665;21.19531;
2022-09-25 02:30:00;1.447665;21.20313;
2022-09-25 03:00:00;1.447665;21.20313;
2022-09-25 03:30:00;1.447665;21.17969;
2022-09-25 04:00:00;1.447665;21.1875;
2022-09-25 04:30:00;1.447665;21.1875;
2022-09-25 05:00:00;1.447665;21.19531;
2022-09-25 05:30:00;1.447665;21.19531;
2022-09-25 06:00:00;1.449601;21.17188;
2022-09-25 06:30:00;1.449601;21.1875;
2022-09-25 07:00:00;1.449601;21.16797;
2022-09-25 07:30:00;1.447665;21.16016;
2022-09-25 08:00:00;1.449601;21.15234;
2022-09-25 08:30:00;1.449601;21.16016;
2022-09-25 09:00:00;1.447665;21.13672;
2022-09-25 09:30:00;1.449601;21.16797;
2022-09-25 10:00:00;1.449601;21.16016;
2022-09-25 10:30:00;1.44476;21.16016;
2022-09-25 11:00:00;1.449601;21.16797;
2022-09-25 11:30:00;1.447665;21.16016;
2022-09-25 12:00:00;1.44476;21.15234;
2022-09-25 12:30:00;1.447665;21.14453;
2022-09-25 13:00:00;1.449601;21.16797;
2022-09-25 13:30:00;1.449601;21.15234;
2022-09-25 14:00:00;1.447665;21.14453;
2022-09-25 14:30:00;1.447665;21.13672;
2022-09-25 15:00:00;1.447665;21.14453;
2022-09-25 15:30:00;1.447665;21.14453;
2022-09-25 16:00:00;1.449601;21.14453;
2022-09-25 16:30:00;1.447665;21.17188;
2022-09-25 17:00:00;1.447665;21.20313;
2022-09-25 17:30:00;1.447665;21.20703;
2022-09-25 18:00:00;1.447665;21.24219;
2022-09-25 18:30:00;1.447665;21.23047;
2022-09-25 19:00:00;1.449601;21.25;
2022-09-25 19:30:00;1.44476;21.23828;
2022-09-25 20:00:00;1.447665;21.23047;
2022-09-25 20:30:00;1.447665;21.22266;
2022-09-25 21:00:00;1.447665;21.22266;
2022-09-25 21:30:00;1.447665;21.20703;
2022-09-25 22:00:00;1.447665;21.20313;
2022-09-25 22:30:00;1.447665;21.17969;
2022-09-25 23:00:00;1.447665;21.15234;
2022-09-25 23:30:00;1.449601;21.09766;
2022-09-26 00:00:00;1.447665;21.06641;
2022-09-26 00:30:00;1.447665;20.99609;
2022-09-26 01:00:00;1.447665;20.93359;
2022-09-26 01:30:00;1.447665;20.88672;
2022-09-26 02:00:00;1.447665;20.80859;
2022-09-26 02:30:00;1.449601;20.75;
2022-09-26 03:00:00;1.447665;20.71094;
2022-09-26 03:30:00;1.447665;20.66797;
2022-09-26 04:00:00;1.447665;20.61719;
2022-09-26 04:30:00;1.447665;20.57422;
2022-09-26 05:00:00;1.447665;20.52734;
2022-09-26 05:30:00;1.447665;20.5;
2022-09-26 06:00:00;1.45057;20.4375;
2022-09-26 06:30:00;1.447665;20.29688;
2022-09-26 07:00:00;1.447665;20.21094;
2022-09-26 07:30:00;1.447665;20.15625;
2022-09-26 08:00:00;1.45057;20.08594;
2022-09-26 08:30:00;1.45057;20.01953;
2022-09-26 09:00:00;1.447665;19.95703;
2022-09-26 09:30:00;1.447665;19.91406;
2022-09-26 10:00:00;1.45057;19.87891;
2022-09-26 10:30:00;1.467031;19.88672;
2022-09-26 11:00:00;1.465095;19.875;
2022-09-26 11:30:00;1.465095;19.875;
2022-09-26 12:00:00;1.465095;19.875;
2022-09-26 12:30:00;1.467031;19.875;
2022-09-26 13:00:00;1.468;19.87891;
2022-09-26 13:30:00;1.467031;19.90234;
2022-09-26 14:00:00;1.465095;19.92969;
2022-09-26 14:30:00;1.468;19.94922;
2022-09-26 15:00:00;1.468;19.97266;
2022-09-26 15:30:00;1.468;19.98438;
2022-09-26 16:00:00;1.468;20.01953;
2022-09-26 16:30:00;1.468;20.03516;
2022-09-26 17:00:00;1.468;20.05078;
2022-09-26 17:30:00;1.468;20.05469;
2022-09-26 18:00:00;1.468;20.07031;
2022-09-26 18:30:00;1.468;20.10547;
2022-09-26 19:00:00;1.468;20.10547;
2022-09-26 19:30:00;1.468;20.11328;
2022-09-26 20:00:00;1.465095;20.14063;
2022-09-26 20:30:00;1.468;20.15625;
2022-09-26 21:00:00;1.465095;20.19141;
2022-09-26 21:30:00;1.468;20.20313;
2022-09-26 22:00:00;1.469936;20.21875;
2022-09-26 22:30:00;1.465095;20.20313;
2022-09-26 23:00:00;1.465095;20.17578;
2022-09-26 23:30:00;1.468;20.11328;
2022-09-27 00:00:00;1.468;20.02734;
2022-09-27 00:30:00;1.468;19.94531;
2022-09-27 01:00:00;1.468;19.88672;
2022-09-27 01:30:00;1.468;19.83984;
2022-09-27 02:00:00;1.468;19.81641;
2022-09-27 02:30:00;1.467031;19.79688;
2022-09-27 03:00:00;1.467031;19.80469;
2022-09-27 03:30:00;1.467031;19.79688;
2022-09-27 04:00:00;1.467031;19.80469;
2022-09-27 04:30:00;1.467031;19.78906;
2022-09-27 05:00:00;1.467031;19.79688;
2022-09-27 05:30:00;1.465095;19.78906;
2022-09-27 06:00:00;1.467031;19.79688;
2022-09-27 06:30:00;1.467031;19.77344;
2022-09-27 07:00:00;1.467031;19.78906;
2022-09-27 07:30:00;1.465095;19.80469;
2022-09-27 08:00:00;1.467031;19.82422;
2022-09-27 08:30:00;1.465095;19.82422;
2022-09-27 09:00:00;1.467031;19.84375;
2022-09-27 09:30:00;1.467031;19.86719;
2022-09-27 10:00:00;1.467031;19.88672;
2022-09-27 10:30:00;1.467031;19.92188;
2022-09-27 11:00:00;1.467031;19.95703;
2022-09-27 11:30:00;1.467031;19.95703;
2022-09-27 12:00:00;1.467031;19.95703;
2022-09-27 12:30:00;1.467031;19.95703;
2022-09-27 13:00:00;1.467031;19.94922;
2022-09-27 13:30:00;1.467031;19.97266;
2022-09-27 14:00:00;1.469936;19.98047;
2022-09-27 14:30:00;1.467031;20.00781;
2022-09-27 15:00:00;1.467031;20.03516;
2022-09-27 15:30:00;1.465095;20.04297;
2022-09-27 16:00:00;1.469936;20.07813;
2022-09-27 16:30:00;1.467031;20.08594;
2022-09-27 17:00:00;1.467031;20.11328;
2022-09-27 17:30:00;1.467031;20.14844;
2022-09-27 18:00:00;1.467031;20.16016;
2022-09-27 18:30:00;1.465095;20.16016;
2022-09-27 19:00:00;1.467031;20.16797;
2022-09-27 19:30:00;1.467031;20.18359;
2022-09-27 20:00:00;1.469936;20.15625;
2022-09-27 20:30:00;1.469936;20.14844;
2022-09-27 21:00:00;1.469936;20.14844;
2022-09-27 21:30:00;1.467031;20.13281;
2022-09-27 22:00:00;1.467031;20.11328;
2022-09-27 22:30:00;1.467031;20.12109;
2022-09-27 23:00:00;1.467031;20.08984;
2022-09-27 23:30:00;1.467031;20.0625;
2022-09-28 00:00:00;1.467031;20.04297;
2022-09-28 00:30:00;1.467031;20.02734;
2022-09-28 01:00:00;1.467031;20.00781;
2022-09-28 01:30:00;1.467031;19.99219;
2022-09-28 02:00:00;1.467031;19.97266;
2022-09-28 02:30:00;1.467031;19.94922;
2022-09-28 03:00:00;1.467031;19.91406;
2022-09-28 03:30:00;1.467031;19.88672;
2022-09-28 04:00:00;1.467031;19.83984;
2022-09-28 04:30:00;1.467031;19.75391;
2022-09-28 05:00:00;1.467031;19.65625;
2022-09-28 05:30:00;1.467031;19.55859;
2022-09-28 06:00:00;1.467031;19.45313;
2022-09-28 06:30:00;1.467031;19.34766;
2022-09-28 07:00:00;1.467031;19.21875;
2022-09-28 07:30:00;1.469936;18.85938;
2022-09-28 08:00:00;1.468;18.30469;
2022-09-28 08:30:00;1.465095;17.67188;
2022-09-28 09:00:00;1.465095;17.0625;
2022-09-28 09:30:00;1.465095;16.60547;
2022-09-28 10:00:00;1.463158;16.25391;
2022-09-28 10:30:00;1.463158;16.01953;
2022-09-28 11:00:00;1.46219;15.91406;
2022-09-28 11:30:00;1.465095;15.85156;
2022-09-28 12:00:00;1.465095;15.85938;
2022-09-28 12:30:00;1.465095;15.90234;
2022-09-28 13:00:00;1.46219;15.9375;
2022-09-28 13:30:00;1.46219;15.97266;
2022-09-28 14:00:00;1.46219;15.96484;
2022-09-28 14:30:00;1.46219;15.99219;
2022-09-28 15:00:00;1.46219;15.99219;
2022-09-28 15:30:00;1.459285;15.98438;
2022-09-28 16:00:00;1.46219;16.09766;
2022-09-28 16:30:00;1.459285;16.33594;
2022-09-28 17:00:00;1.459285;16.59766;
2022-09-28 17:30:00;1.459285;16.85156;
2022-09-28 18:00:00;1.459285;17.07422;
2022-09-28 18:30:00;1.459285;17.25781;
2022-09-28 19:00:00;1.459285;17.41406;
2022-09-28 19:30:00;1.464126;17.55859;
2022-09-28 20:00:00;1.464126;17.71484;
2022-09-28 20:30:00;1.464126;17.89844;
2022-09-28 21:00:00;1.464126;18.03906;
2022-09-28 21:30:00;1.464126;18.17969;
2022-09-28 22:00:00;1.466063;18.32031;
2022-09-28 22:30:00;1.466063;18.42578;
2022-09-28 23:00:00;1.464126;18.53125;
2022-09-28 23:30:00;1.464126;18.63672;
2022-09-29 00:00:00;1.466063;18.73438;
2022-09-29 00:30:00;1.464126;18.82031;
2022-09-29 01:00:00;1.464126;18.89453;
2022-09-29 01:30:00;1.466063;18.96094;
2022-09-29 02:00:00;1.466063;19.02344;
2022-09-29 02:30:00;1.466063;19.07813;
2022-09-29 03:00:00;1.464126;19.14844;
2022-09-29 03:30:00;1.466063;19.17188;
2022-09-29 04:00:00;1.466063;19.21094;
2022-09-29 04:30:00;1.466063;19.27734;
2022-09-29 05:00:00;1.464126;19.31641;
2022-09-29 05:30:00;1.466063;19.34766;
2022-09-29 06:00:00;1.466063;19.35156;
2022-09-29 06:30:00;1.466063;19.38672;
2022-09-29 07:00:00;1.471873;19.44531;
2022-09-29 07:30:00;1.468968;19.48047;
2022-09-29 08:00:00;1.471873;19.50781;
2022-09-29 08:30:00;1.468968;19.5625;
2022-09-29 09:00:00;1.47381;19.59766;
2022-09-29 09:30:00;1.47381;19.64063;
2022-09-29 10:00:00;1.471873;19.69141;
2022-09-29 10:30:00;1.45638;19.76953;
2022-09-29 11:00:00;1.459285;19.77344;
2022-09-29 11:30:00;1.459285;19.875;
2022-09-29 12:00:00;1.459285;19.98047;
2022-09-29 12:30:00;1.461221;20.0625;
2022-09-29 13:00:00;1.459285;19.94531;
2022-09-29 13:30:00;1.454443;19.58594;
2022-09-29 14:00:00;1.455411;18.98047;
