DATE TIME;1. Increment [mm];2. Temperature [oC];
2022-09-21 16:00:00;1.749786;18.17969;
2022-09-21 16:30:00;1.744944;18.30859;
2022-09-21 17:00:00;1.744944;18.43359;
2022-09-21 17:30:00;1.746881;18.54688;
2022-09-21 18:00:00;1.746881;18.67969;
2022-09-21 18:30:00;1.744944;18.75;
2022-09-21 19:00:00;1.744944;18.84375;
2022-09-21 19:30:00;1.746881;18.92188;
2022-09-21 20:00:00;1.746881;18.99219;
2022-09-21 20:30:00;1.746881;19.04688;
2022-09-21 21:00:00;1.746881;19.11328;
2022-09-21 21:30:00;1.749786;19.14844;
2022-09-21 22:00:00;1.746881;19.20313;
2022-09-21 22:30:00;1.746881;19.21875;
2022-09-21 23:00:00;1.747849;19.19531;
2022-09-21 23:30:00;1.749786;19.1875;
2022-09-22 00:00:00;1.749786;19.17578;
2022-09-22 00:30:00;1.744944;19.14063;
2022-09-22 01:00:00;1.747849;19.08203;
2022-09-22 01:30:00;1.744944;19.03516;
2022-09-22 02:00:00;1.747849;18.99219;
2022-09-22 02:30:00;1.744944;18.92969;
2022-09-22 03:00:00;1.745913;18.87109;
2022-09-22 03:30:00;1.749786;18.80859;
2022-09-22 04:00:00;1.747849;18.74609;
2022-09-22 04:30:00;1.745913;18.67578;
2022-09-22 05:00:00;1.745913;18.625;
2022-09-22 05:30:00;1.747849;18.57422;
2022-09-22 06:00:00;1.745913;18.52734;
2022-09-22 06:30:00;1.747849;18.45703;
2022-09-22 07:00:00;1.747849;18.38672;
2022-09-22 07:30:00;1.747849;18.31641;
2022-09-22 08:00:00;1.750754;18.25;
2022-09-22 08:30:00;1.747849;18.20313;
2022-09-22 09:00:00;1.747849;18.16016;
2022-09-22 09:30:00;1.747849;18.13672;
2022-09-22 10:00:00;1.747849;18.13672;
2022-09-22 10:30:00;1.747849;18.17969;
2022-09-22 11:00:00;1.747849;18.25781;
2022-09-22 11:30:00;1.747849;18.32813;
2022-09-22 12:00:00;1.747849;18.42188;
2022-09-22 12:30:00;1.747849;18.49219;
2022-09-22 13:00:00;1.750754;18.57422;
2022-09-22 13:30:00;1.747849;18.6875;
2022-09-22 14:00:00;1.747849;18.77344;
2022-09-22 14:30:00;1.747849;18.86328;
2022-09-22 15:00:00;1.747849;18.98438;
2022-09-22 15:30:00;1.747849;19.04688;
2022-09-22 16:00:00;1.747849;19.13281;
2022-09-22 16:30:00;1.747849;19.19531;
2022-09-22 17:00:00;1.747849;19.28906;
2022-09-22 17:30:00;1.747849;19.34375;
2022-09-22 18:00:00;1.745913;19.40625;
2022-09-22 18:30:00;1.743976;19.44922;
2022-09-22 19:00:00;1.745913;19.50781;
2022-09-22 19:30:00;1.743976;19.54297;
2022-09-22 20:00:00;1.745913;19.58594;
2022-09-22 20:30:00;1.743976;19.46484;
2022-09-22 21:00:00;1.746881;19.125;
2022-09-22 21:30:00;1.744944;18.64063;
2022-09-22 22:00:00;1.742039;18.04688;
2022-09-22 22:30:00;1.744944;17.48047;
2022-09-22 23:00:00;1.744944;17.00391;
2022-09-22 23:30:00;1.744944;16.55078;
2022-09-23 00:00:00;1.744944;16.13672;
2022-09-23 00:30:00;1.744944;15.71875;
2022-09-23 01:00:00;1.740103;15.31641;
2022-09-23 01:30:00;1.743008;14.90234;
2022-09-23 02:00:00;1.744944;14.52734;
2022-09-23 02:30:00;1.744944;14.625;
2022-09-23 03:00:00;1.746881;14.92188;
2022-09-23 03:30:00;1.743976;15.29688;
2022-09-23 04:00:00;1.743976;15.69922;
2022-09-23 04:30:00;1.743976;16.07031;
2022-09-23 05:00:00;1.745913;16.41797;
2022-09-23 05:30:00;1.745913;16.70703;
2022-09-23 06:00:00;1.745913;16.92578;
2022-09-23 06:30:00;1.745913;17.05859;
2022-09-23 07:00:00;1.745913;17.10156;
2022-09-23 07:30:00;1.745913;17.15625;
2022-09-23 08:00:00;1.743008;17.23438;
2022-09-23 08:30:00;1.745913;17.32813;
2022-09-23 09:00:00;1.745913;17.38281;
2022-09-23 09:30:00;1.745913;17.46094;
2022-09-23 10:00:00;1.743008;17.54688;
2022-09-23 10:30:00;1.745913;17.69531;
2022-09-23 11:00:00;1.745913;17.79297;
2022-09-23 11:30:00;1.745913;17.89844;
2022-09-23 12:00:00;1.747849;18.03906;
2022-09-23 12:30:00;1.745913;18.23047;
2022-09-23 13:00:00;1.743008;18.41406;
2022-09-23 13:30:00;1.745913;18.60547;
2022-09-23 14:00:00;1.745913;18.76563;
2022-09-23 14:30:00;1.745913;18.94141;
2022-09-23 15:00:00;1.747849;19.08203;
2022-09-23 15:30:00;1.743008;19.23828;
2022-09-23 16:00:00;1.743008;19.40625;
2022-09-23 16:30:00;1.743008;19.51953;
2022-09-23 17:00:00;1.743008;19.65625;
2022-09-23 17:30:00;1.743008;19.77344;
2022-09-23 18:00:00;1.745913;19.85938;
