"Site","Year","Species","Tree","Sample","DY","RF","CZ","EZ","WZ","MZ","PR"
"ABI",2023,"PISY","1",1,114,"1",7,0,0,0,48
"ABI",2023,"PISY","1",1,114,"2",8,0,0,0,50
"ABI",2023,"PISY","1",1,114,"3",9,0,0,0,52
"ABI",2023,"PISY","1",2,131,"1",7,0,0,0,40
"ABI",2023,"PISY","1",2,131,"2",9,0,0,0,36
"ABI",2023,"PISY","1",2,131,"3",8,0,0,0,41
"ABI",2023,"PISY","1",3,145,"1",15,2,0,0,38
"ABI",2023,"PISY","1",3,145,"2",12,2,0,0,38
"ABI",2023,"PISY","1",3,145,"3",13,2,0,0,39
"ABI",2023,"PISY","1",4,152,"1",13,3,0,0,27
"ABI",2023,"PISY","1",4,152,"2",12,4,0,0,26
"ABI",2023,"PISY","1",4,152,"3",13,4,0,0,29
"ABI",2023,"PISY","1",5,159,"1",18,6,0,0,45
"ABI",2023,"PISY","1",5,159,"2",14,5,0,0,46
"ABI",2023,"PISY","1",5,159,"3",14,5,0,0,53
"ABI",2023,"PISY","1",6,166,"1",19,5,2,0,39
"ABI",2023,"PISY","1",6,166,"2",17,6,2,0,39
"ABI",2023,"PISY","1",6,166,"3",23,7,2,0,36
"ABI",2023,"PISY","1",7,173,"1",14,9,6,0,52
"ABI",2023,"PISY","1",7,173,"2",11,17,7,0,53
"ABI",2023,"PISY","1",7,173,"3",15,16,9,0,52
"ABI",2023,"PISY","1",8,181,"1",10,12,17,0,43
"ABI",2023,"PISY","1",8,181,"2",12,NA,15,1,39
"ABI",2023,"PISY","1",8,181,"3",11,NA,15,1,39
"ABI",2023,"PISY","1",9,195,"1",8,2,8,10,46
"ABI",2023,"PISY","1",9,195,"2",9,2,8,13,41
"ABI",2023,"PISY","1",9,195,"3",10,5,10,9,49
"ABI",2023,"PISY","1",10,208,"1",10,2,13,21,48
"ABI",2023,"PISY","1",10,208,"2",10,1,16,17,46
"ABI",2023,"PISY","1",10,208,"3",9,1,14,22,46
"ABI",2023,"PISY","1",11,223,"1",7,2,14,29,46
"ABI",2023,"PISY","1",11,223,"2",10,1,14,32,47
"ABI",2023,"PISY","1",11,223,"3",10,1,12,33,50
"ABI",2023,"PISY","1",12,236,"1",6,2,6,42,44
"ABI",2023,"PISY","1",12,236,"2",7,1,5,40,48
"ABI",2023,"PISY","1",12,236,"3",7,1,5,47,47
"ABI",2023,"PISY","1",13,250,"1",7,0,1,38,44
"ABI",2023,"PISY","1",13,250,"2",7,0,0,41,46
"ABI",2023,"PISY","1",13,250,"3",6,0,0,37,44
"ABI",2023,"PISY","1",14,293,"1",6,0,0,37,NA
"ABI",2023,"PISY","1",14,293,"2",7,0,0,32,NA
"ABI",2023,"PISY","1",14,293,"3",7,0,0,37,NA
"ABI",2023,"PISY","2",1,114,"1",7,0,0,0,35
"ABI",2023,"PISY","2",1,114,"2",6,0,0,0,37
"ABI",2023,"PISY","2",1,114,"3",6,0,0,0,39
"ABI",2023,"PISY","2",2,131,"1",6,0,0,0,29
"ABI",2023,"PISY","2",2,131,"2",7,0,0,0,29
"ABI",2023,"PISY","2",2,131,"3",6,0,0,0,28
"ABI",2023,"PISY","2",3,145,"1",7,0,0,0,27
"ABI",2023,"PISY","2",3,145,"2",8,0,0,0,31
"ABI",2023,"PISY","2",3,145,"3",8,0,0,0,28
"ABI",2023,"PISY","2",4,152,"1",10,0,0,0,37
"ABI",2023,"PISY","2",4,152,"2",11,0,0,0,37
"ABI",2023,"PISY","2",4,152,"3",12,1,0,0,38
"ABI",2023,"PISY","2",5,159,"1",9,1,0,0,27
"ABI",2023,"PISY","2",5,159,"2",8,1,0,0,28
"ABI",2023,"PISY","2",5,159,"3",11,1,0,0,25
"ABI",2023,"PISY","2",6,166,"1",10,2,0,0,32
"ABI",2023,"PISY","2",6,166,"2",11,2,0,0,30
"ABI",2023,"PISY","2",6,166,"3",10,3,0,0,30
"ABI",2023,"PISY","2",7,173,"1",12,3,4,0,31
"ABI",2023,"PISY","2",7,173,"2",13,5,2,0,30
"ABI",2023,"PISY","2",7,173,"3",11,2,3,0,31
"ABI",2023,"PISY","2",8,181,"1",11,6,6,0,32
"ABI",2023,"PISY","2",8,181,"2",10,6,7,0,30
"ABI",2023,"PISY","2",8,181,"3",11,7,7,0,30
"ABI",2023,"PISY","2",9,195,"1",12,4,12,9,32
"ABI",2023,"PISY","2",9,195,"2",13,4,12,9,33
"ABI",2023,"PISY","2",9,195,"3",14,3,13,10,29
"ABI",2023,"PISY","2",10,208,"1",8,2,11,10,35
"ABI",2023,"PISY","2",10,208,"2",8,3,11,9,33
"ABI",2023,"PISY","2",10,208,"3",8,1,12,8,30
"ABI",2023,"PISY","2",11,223,"1",9,2,13,24,29
"ABI",2023,"PISY","2",11,223,"2",10,1,15,20,31
"ABI",2023,"PISY","2",11,223,"3",10,1,15,21,33
"ABI",2023,"PISY","2",12,236,"1",7,1,13,18,33
"ABI",2023,"PISY","2",12,236,"2",6,1,13,23,31
"ABI",2023,"PISY","2",12,236,"3",7,0,14,21,34
"ABI",2023,"PISY","2",13,250,"1",6,0,3,23,34
"ABI",2023,"PISY","2",13,250,"2",7,0,0,28,35
"ABI",2023,"PISY","2",13,250,"3",6,0,1,28,34
"ABI",2023,"PISY","2",14,293,"1",6,0,0,46,NA
"ABI",2023,"PISY","2",14,293,"2",6,0,0,48,NA
"ABI",2023,"PISY","2",14,293,"3",6,0,0,53,NA
"ABI",2023,"PISY","3",1,114,"1",8,0,0,0,60
"ABI",2023,"PISY","3",1,114,"2",7,0,0,0,51
"ABI",2023,"PISY","3",1,114,"3",8,0,0,0,53
"ABI",2023,"PISY","3",2,131,"1",8,0,0,0,66
"ABI",2023,"PISY","3",2,131,"2",8,0,0,0,68
"ABI",2023,"PISY","3",2,131,"3",8,1,0,0,63
"ABI",2023,"PISY","3",3,145,"1",16,2,0,0,64
"ABI",2023,"PISY","3",3,145,"2",13,2,0,0,64
"ABI",2023,"PISY","3",3,145,"3",16,3,0,0,64
